(940,824,3)
(231,724,16)
(354,504,15)
(813,986,9)
(32,775,6)
(606,712,2)
(28,394,14)
(384,905,7)
(259,356,16)
(534,119,1)
(532,56,12)
(309,407,9)
(223,332,8)
(769,180,2)
(763,503,16)
(240,293,0)
(824,655,13)
(188,981,11)
(241,320,8)
(404,762,0)
(110,115,2)
(178,972,1)
(89,566,14)
(276,899,4)
(179,211,42)
(428,687,8)
(682,942,6)
(472,677,6)
(730,693,11)
(596,729,12)
(217,403,5)
(881,631,4)
(832,434,0)
(224,107,2)
(718,236,6)
(700,741,5)
(57,457,7)
(796,178,8)
(988,100,18)
(986,537,5)
(528,146,1)
(5,105,18)
(519,212,2)
(829,214,5)
(428,968,0)
(198,956,9)
(274,299,23)
(940,930,8)
(283,405,3)
(844,871,13)
(722,932,14)
(106,398,6)
(34,282,7)
(681,308,22)
(186,568,26)
(81,817,4)
(808,692,0)
(690,519,20)
(109,320,6)
(160,281,2)
(362,397,12)
(10,31,0)
(440,267,16)
(394,939,1)
(173,211,33)
(384,40,10)
(86,485,8)
(477,119,14)
(275,680,3)
(503,464,5)
(343,776,17)
(88,395,9)
(920,353,7)
(570,547,14)
(911,175,5)
(995,416,9)
(126,302,19)
(992,913,0)
(296,949,6)
(370,304,2)
(892,677,1)
(902,566,4)
(944,493,2)
(375,376,17)
(922,992,1)
(517,517,0)
(565,391,24)
(209,293,8)
(463,588,3)
(129,1,8)
(181,813,14)
(78,844,3)
(631,820,18)
(621,884,1)
(644,810,4)
(407,451,0)
(223,25,5)
(166,598,8)
(418,323,12)
(537,459,4)
(225,41,1)
(149,519,3)
(316,486,6)
(361,280,1)
(722,114,24)
(135,496,4)
(800,246,13)
(638,234,20)
(12,905,0)
(683,798,0)
(729,486,5)
(307,174,1)
(945,582,6)
(711,353,21)
(511,720,0)
(568,483,3)
(954,501,10)
(835,623,9)
(913,644,6)
(665,551,2)
(860,28,10)
(399,639,40)
(936,379,3)
(288,52,8)
(424,851,16)
(464,283,6)
(172,637,1)
(921,252,5)
(691,329,4)
(843,82,10)
(650,725,0)
(886,821,22)
(276,952,16)
(8,637,12)
(451,852,15)
(268,649,25)
(205,884,2)
(957,205,1)
(415,666,2)
(709,37,1)
(608,863,20)
(751,290,15)
(545,526,4)
(45,217,3)
(319,285,24)
(175,521,3)
(324,919,4)
(88,591,2)
(590,728,2)
(344,642,1)
(988,189,5)
(514,758,1)
(745,514,5)
(977,604,10)
(76,375,33)
(568,721,1)
(102,11,3)
(589,422,2)
(176,823,19)
(842,93,2)
(291,255,0)
(48,872,14)
(394,578,0)
(893,999,32)
(289,413,14)
(921,624,12)
(467,80,17)
(490,750,0)
(237,452,4)
(435,112,17)
(816,365,6)
(377,901,1)
(318,881,10)
(958,791,2)
(83,29,38)
(27,375,0)
(756,706,11)
(215,493,7)
(647,792,2)
(13,855,0)
(950,304,15)
(828,378,4)
(48,448,8)
(173,89,3)
(472,902,0)
(914,803,4)
(503,719,12)
(508,558,1)
(950,857,1)
(947,591,24)
(127,269,0)
(639,142,0)
(509,690,0)
(91,538,0)
(555,806,5)
(6,312,5)
(756,656,31)
(113,93,6)
(787,24,11)
(485,715,6)
(158,892,4)
(781,338,1)
(815,988,11)
(859,704,2)
(39,891,27)
(485,785,8)
(675,754,4)
(136,756,10)
(446,26,20)
(472,430,9)
(625,585,5)
(8,768,12)
(515,489,9)
(171,505,14)
(760,675,39)
(778,715,11)
(998,83,10)
(822,936,12)
(229,712,9)
(550,873,12)
(550,665,5)
(511,54,2)
(959,190,10)
(516,736,7)
(73,614,1)
(24,124,37)
(287,886,9)
(922,110,18)
(364,530,2)
(160,286,8)
(132,440,0)
(203,928,2)
(128,457,16)
(745,348,7)
(648,184,11)
(550,40,0)
(680,668,1)
(126,461,1)
(676,732,12)
(315,900,4)
(527,889,7)
(335,567,14)
(49,804,5)
(145,561,5)
(671,922,1)
(92,759,14)
(483,1000,1)
(808,538,0)
(90,161,14)
(587,644,14)
(164,417,9)
(146,243,3)
(467,660,3)
(724,504,7)
(588,224,2)
(504,805,1)
(490,758,9)
(48,229,2)
(986,682,10)
(435,970,1)
(968,939,3)
(242,656,4)
(599,238,8)
(850,346,0)
(946,82,0)
(656,64,4)
(497,774,11)
(341,908,29)
(14,658,13)
(687,753,14)
(635,988,1)
(726,942,11)
(263,348,2)
(780,985,7)
(925,380,2)
(247,988,17)
(827,640,27)
(760,969,15)
(44,780,5)
(855,676,10)
(721,551,4)
(214,482,22)
(548,530,4)
(806,990,1)
(845,836,17)
(828,634,14)
(819,577,15)
(306,946,5)
(443,386,31)
